code,L1_Code,L1_Name,L2_Code,L2_Name,L3_Code,L3_Name,L4_Code,L4_Name,L5_Code,L5_Name,Description,References,Questions,Notes,,,,,,,,,,,,,,,,,
15130,10000,General Government,15000,Finance / Treasury,15130,Budgeting,,,,,"Team that manages the budget (planning/forecasts, appropriations, variance analysis, reporting, etc.).","Municipal Finance Glossary, State of MA",,,,,,,,,,,,,,,,,,,
15140,,General Government,15000,Finance / Treasury,15140,Tax Administration & Collection,,,,,,,,,,,,,,,,,,,,,,,,,
15141,10000,General Government,15000,Finance / Treasury,15140,Tax Administration & Collection,15141,Tax Administration,,,"Division responsible for administering the tax code and are the normal public interface when it comes to identifying, quantifying, and paying various tax liabilities. They would be responsible for maintaining customer service and technological tools necessary to make reporting and paying taxes as convenient as possible. This group would conduct revaluation of the tax rates if asset values changed significantly enough to drastically change tax revenue.",http://dconc.gov/government/departments-f-z/tax-administration,Added Red Text due to UMASS Revaluation Dept,,,,,,,,,,,,,,,,,,
15145,10000,General Government,15000,Finance / Treasury,15140,Tax Administration & Collection,15145,Tax Collections,,,"Division responsible for collecting taxes, both current and delinquent.  They also prepare and file tax takings and tax certification liens, issue municipal lien certificates, and prepare petitions for foreclosures with the Law Department.",https://www.boston.gov/departments/tax-collection,"Should this be listed in L4. Is ""Collections"" a function of ""Tax Administration""?",Collections could be a function of administration as well as assessor,,,,,,,,,,,,,,,,,
15150,10000,General Government,15000,Finance / Treasury,15150,Treasury,,,,,"Division responsible for all of the City's banking; identification of all wire transfers into City bank accounts; investment of City cash; management of the City's trust funds; reconciliation of all cash; timely payment of all debt service obligations; and prompt payment of all approved obligations to vendors and contractors.  If the municipality is small, this division may also administer payroll.",https://www.cambridgema.gov/finance/treasurydivision,,,,,,,,,,,,,,,,,,,
15160,10000,General Government,15000,Finance / Treasury,15160,Licensing and Registration,,,,,"Division charged with the responsibility of issuing licenses and enforcing rules, regulations, local ordinances, and state laws pertaining to any activity deemed appropriate by the central government (i.e. liquor licenses, livery registration, lodging houses...).",,,,,,,,,,,,,,,,,,,,
15161,10000,General Government,15000,Finance / Treasury,15160,Licensing and Registration,15161,Administration / Clerk,,,Provides leadership to Licensing and Registration division by maintaining the processes and procedures for all applicants. The administration/clerk also works with the licensing commission to properly document what activities require licenses and work to educate / provide customer service to aide the public.,,,Created 9/29/2016,,,,,,,,,,,,,,,,,
15163,10000,General Government,15000,Finance / Treasury,15160,Licensing and Registration,15163,Registration,,,"Registration documents applications made by the public, submits said applications for review, and records the approval or disapproval of the request.  ",,,Created 9/29/2016,,,,,,,,,,,,,,,,,
15164,10000,General Government,15000,Finance / Treasury,15160,Licensing and Registration,15164,Licensing Commission,,,"The licensing commission is a body of public safety subject matter experts that is charged with the responsibility of issuing licenses and enforces rules, regulations, and local ordinances pertaining to controlled activities.  Each locality determines the type of activities that require registration or licensing.",,,Created 9/29/2016,,,,,,,,,,,,,,,,,
15169,10000,General Government,15000,Finance / Treasury,15160,Licensing and Registration,15169,Other - Licensing and Registration,,,Other duties held by the licensing and registration division that are not specified within this document.,,,Created 9/29/2016,,,,,,,,,,,,,,,,,
15170,10000,General Government,15000,Finance / Treasury,15170,Purchasing,,,,,"The Purchasing Department implements and administers the purchasing policies and practices of the City. The Purchasing Department ensures that all purchases of goods and services are made in accordance with state law and city ordinance, are open, fair, and competitive, and are obtained at the lowest possible cost.",https://www.cambridgema.gov/purchasing,,,,,,,,,,,,,,,,,,,
15180,10000,General Government,15000,Finance / Treasury,15180,Debt Administration,,,,,"The Debt Administration division oversees the issuance, management, and ongoing reporting of the City’s debt program. In managing its debt, the division seeks to achieve the lowest cost of capital, ensure high credit quality, assure access to the capital credit markets and manage interest rate risk exposure on behalf of the City.",http://www.atlantaga.gov/index.aspx?page=207,,,,,,,,,,,,,,,,,,,
15190,10000,General Government,15000,Finance / Treasury,15190,Other - Finance / Treasury,,,,,Other duties held by the Finance / Treasury department that are not specified in this document.,,,,,,,,,,,,,,,,,,,,
16000,10000,General Government,16000,Non-Departmental,,,,,,,"General category for portions of the government that are non-departmental in nature.  Specifically, these divisions service the needs across the entire central government. This often is encoded with code ""000"" by OpenGov or the entity (sometimes referred to as Revenue).",,,,,,,,,,,,,,,,,,,,
16100,10000,General Government,16000,Non-Departmental,16100,Reserve Management,,,,,A specific entity tasked with managing the reserve including obtaining the proper level of agreement between stakeholders for its use. The reserve is an amount set aside annually within the budget of a city (not to exceed 3 percent of the tax levy for the preceding year) or town (not to exceed 5 percent of the tax levy for the preceding year) to provide a funding source for extraordinary or unforeseen expenditures.,"Municipal Finance Glossary, State of MA",,Created 9/29/2016,,,,,,,,,,,,,,,,,
16150,10000,General Government,16000,Non-Departmental,16150,Law,,,,,"Many municipalities have a Law department which is responsible for providing legal representation and advice to the municipality and its officials in numerous areas of law, such as: zoning, environmental, employment, civil rights, contracts, tax, real estate and torts involving personal injury and property damage claims. Members of the legal staff also regularly attend and provide advice at meetings of the City Council and subcommittees thereof and to City boards and commissions. In addition to drafting ordinances and other legal documents, numerous verbal and written opinions are rendered to the City Manager, Mayor, City Council, and Department Heads. These services are provided by a legal staff typically comprised of full-time attorneys. In addition to the legal staff there is likely a support staff which consists of an office manager and two administrative assistants.",https://www.cambridgema.gov/law,,,,,,,,,,,,,,,,,,,
16170,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,,,,,"Tasked with properly documenting all aspects of employee payroll and benefit programs.  Each related duty may be accomplished by an individual or team, depending on the size of the municipality.  With less employees it is possible that more than one benefit or payroll program may be managed by one person.",,,Created 10/11/2016,,,,,,,,,,,,,,,,,
16171,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16171,Retirement and Pension Contributions,,,Personnel tasked with tracking retirement and pension contributions for all employees and distributing useful information about the available programs to those individuals.,,,,,,,,,,,,,,,,,,,,
16171A,,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16171,Retirement and Pension Contributions,16171A,Police Pension Contribution,"Responsible to accept, process, and track all pension contributions from Police Personnel.  It is imparitive that these individual contributions are associated with the correct employee, including any proceeds due.",PA DCED p22,,created 11/14/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16171B,,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16171,Retirement and Pension Contributions,16171B,Fire Pension Contribution,"Responsible to accept, process, and track all pension contributions from Police Personnel.  It is imparitive that these individual contributions are associated with the correct employee, including any proceeds due.",PA DCED p22,,created 11/14/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16171C,,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16171,Retirement and Pension Contributions,16171C,Non-Uniform Pension Contribution,"Responsible to accept, process, and track all pension contributions from all Personnel not involved in the Police or Fire Departments.  It is imparitive that these individual contributions are associated with the correct employee, including any proceeds due.",PA DCED p22,,created 11/14/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16172,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16172,Worker’s Compensation,,,Personnel who maintain the workers compensation fund and process injury and vocational rehabilitation claims from employees injured on the job.,,,,,,,,,,,,,,,,,,,,
16173,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16173,Unemployment Compensation/Insurance,,,Personnel responsible to ensure that State unemployment insurance is properly included in the payroll withholdings of all employees,,,,,,,,,,,,,,,,,,,,
16174,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16174,Health Insurance,,,Personnel responsible to manage the contracts with the Health Care providers or the Self-Insured trust fund.  This team is also responsible for providing the details of the available plans to personnel and answer any questions they may have.,,,,,,,,,,,,,,,,,,,,
16175,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16175,Life Insurance,,,Personnel responsible for maintaining the contracts with insurance providers and educating all employees on their options.,,,,,,,,,,,,,,,,,,,,
16176,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16176,Medicare Contributions (FICA),,,"Personnel that manage the needs of current and retired employees enrollment and involvement in Medicare.  By law all people who are eligible for medicare, must switch their health plan to a medicare plan for themselves and their dependants.  This group also ensures that the proper amount of money is withheld to comply with Federal Law.",,,,,,,,,,,,,,,,,,,,
16177,,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16177,Social Security Contributions (FICA),,,Payroll function that ensures the proper amount of money is withheld to comply with all federal social security employment laws.,,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16178,,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16178,Fiduciary Fund Benefits and Refunds Paid,,,"A fiduciary fund is an account with funds from assets that the government holds as a trustee and that it cannot use to fund its own programs. Fiduciary funds include pension and employee benefit trust funds, agency funds, external investment trust funds and private-purpose trust funds.",https://www.reference.com/business-finance/fiduciary-fund-c3a0a59e0a2f0c5f,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16179,10000,General Government,16000,Non-Departmental,16170,Payroll and Employee Benefits,16179,Other - Payroll and Employee Benefits,,,Personnel responsible for all other payroll issues which are not described elsewhere in this document.,,,,,,,,,,,,,,,,,,,,
16200,10000,General Government,16000,Non-Departmental,16200,Human Resources,,,,,"Tasked to recruit, develop, and retain a diverse, well qualified, and professional workforce. Ensure positive employee relations, talent management, succession planning, and employee engagement.",,,,,,,,,,,,,,,,,,,,
16201,10000,General Government,16000,Non-Departmental,16200,Human Resources,16201,Personnel,,,Personnel management is a predominantly administrative record-keeping function that aims to establish and maintain equitable terms and conditions of employment.,,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16202,10000,General Government,16000,Non-Departmental,16200,Human Resources,16202,Civil Service,,,"The Civil Service Unit recruits and evaluates current and potential employees to ensure fair and equal access to careers in public service and to provide qualified candidates to the agencies and municipalities. To further promote this end, we advance customer-focused, technology driven partnerships.",http://www.mass.gov/anf/employment-equal-access-disability/oversight-agencies/hrd/civil-service-unit.html,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16203,10000,General Government,16000,Non-Departmental,16200,Human Resources,16203,Worker’s Compensation Agent,,,"The Workers' Compensation Unit administers the workers' compensation program for all injured employees.   The agent organizes the program and acts as the resident expert for all other government employees.  If the municipality enlists the assistance of a private insurance company, it is the responsibility of the agent to negotiate the terms of the contract and to fully implement it.",http://www.mass.gov/anf/employment-equal-access-disability/oversight-agencies/hrd/workers-compensation-unit.html,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16209,10000,General Government,16000,Non-Departmental,16200,Human Resources,16209,Other - Human Resources,,,Personnel responsible for all other Human Resource issues which are not described elsewhere in this document.,,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16250,10000,General Government,16000,Non-Departmental,16250,Tax Assessor,,,,,"A Tax assessor, is an appointed or elected official charged with determining the value of each taxable property in a county, municipality, or township; this information is then used by the local governments to determine the necessary rates of taxation to support the community's annual public budgets.",,"move to ""Financial Administration"" like in Schedule A",,,,,,,,,,,,,,,,,,
16300,10000,General Government,16000,Non-Departmental,16300,Risk Management,,,,,The Risk Management Division manages risk for the City and its taxpayers and promotes the health and safety of City employees.  ,http://dallascityhall.com/departments/officeriskmanagement/Pages/Commercial-Insurance-and-Facility-Inspection.aspx,,,,,,,,,,,,,,,,,,,
16310,,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",,,This group uses insurance and Surety guarantees to mitigate the financial risk to the City.  This protection may be based on protecting assets or the liability caused by employee actions.,,,,,,,,,,,,,,,,,,,,
16311,10000,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16311,Property Insurance,Risk Management has an active  commercial insurance and facility inspection program.  This program  acquires and maintains appropriate insurance placement of City assets in an effort to financially protect the City in the event of covered losses. The insurability and workplace  safety conditions of City facilities are monitored through an aggressive inspection program.  ,http://dallascityhall.com/departments/officeriskmanagement/Pages/Commercial-Insurance-and-Facility-Inspection.aspx,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16312,10000,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16312,Liability Insurance,"Risk management through the use of either private liability insurance or self insurance to mitigate the impact of wrongful injury, both physical and financial, due to the government's actions.",,,,,,,,,,,,,,,,,,,,
16313,,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16313,Automobile Insurance,Vehicle insurance is designed to cover risk of financial liability or the loss of a motor vehicle the owner may face if their vehicle is involved in a collision resulting in property or physical damages.,https://en.wikipedia.org/wiki/Vehicle_insurance_in_the_United_States,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16314,,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16314,Insurance – Public Officials,"The liability exposure faced by a public official from ""wrongful acts,"" usually defined under public officials liability insurance policies as actual or alleged errors, omissions, misstatements, negligence, or breach of duty in his or her capacity as a public official or employee of the public entity.",https://www.irmi.com/online/insurance-glossary/terms/p/public-officials-liability.aspx,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16315,,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16315,Insurance – Police Professional,"Provides liability coverage for police officers and police departments, in conjunction with acts, errors, and omissions while performing their professional duties. The policies cover such perils as false arrest and civil rights violations. Unlike most professional liability insurance, the policies are sometimes written with occurrence triggers.",https://www.irmi.com/online/insurance-glossary/terms/p/police-professional-liability-insurance.aspx,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16316,,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16316,Fidelity and Surety Bonds,"Bail or bond (in this case, bail and bond mean the same thing) is an amount of money in cash, property, or surety bond for the purpose of making sure that a person attends all required court appearances. Bond allows an arrested person (defendant) to be released from jail until his or her case is completed. A fidelity bond is a form of insurance protection that covers policyholders for losses that they incur as a result of fraudulent acts by specified individuals. It usually insures a business for losses caused by the dishonest acts of its employees.",https://en.wikipedia.org/wiki/Fidelity_bond; https://en.wikipedia.org/wiki/Surety_bond,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16319,,General Government,16000,Non-Departmental,16300,Risk Management,16310,"Insurance, Casualty, and Surety",16319,"Other - Insurance, Casualty, and Surety","All other insurance related function, actions, or expenses that are not specifically described elsewhere within this document.",,,created 11/13/2016 based on PA DCED CoA p22,,,,,,,,,,,,,,,,,
16303,10000,General Government,16000,Non-Departmental,16300,Risk Management,16320,Court Judgments,,,Court judgements can have both a financial and procedural impact to a municipality.  This group is tasked with incorporating all court judgements into the daily operations of the entity.  This could be as simple as paying a financial settlement or as complicated as fundementally changing a key process (i.e. demographics of school populations).,,,,,,,,,,,,,,,,,,,,
16309,10000,General Government,16000,Non-Departmental,16300,Risk Management,16349,Other - Risk Management,,,Personnel that are responsible for all other risk management issues that are not specifically defined in this document.,,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16350,10000,General Government,16000,Non-Departmental,16350,Internal Audit,,,,,"The Auditing Department is the ""watchdog"" for city spending, ensuring that all departmental expenditures correspond with state and federal laws, expenses are accounted for and well documented, and spending does not exceed the budgets determined by the City Council and City Manager.",https://www.cambridgema.gov/audit,,,,,,,,,,,,,,,,,,,
16400,10000,General Government,16000,Non-Departmental,16400,IT Department,,,,,"The IT Deptartment manages the City’s websites and technologies that are focused on service delivery. We also ensure that the networks, computers, e-mail systems, and applications that support the business of City government are continuously available and operating effectively.",https://www.boston.gov/departments/innovation-and-technology,,,,,,,,,,,,,,,,,,,
16450,10000,General Government,16000,Non-Departmental,16450,Messenger,,,,,An intragovernment mailing system that quickly transfers physical documents between city offices.,,,Created 9/29/2016,,,,,,,,,,,,,,,,,
16500,10000,General Government,16000,Non-Departmental,16500,Tax Title Foreclosure,,,,,"Property owners have a certain grace period to pay their property tax bill. If you don't pay your bill in time, it will gain interest. We  certify any unpaid taxes at the end of the Fiscal year to the tax title account, and may increase the interest rate as a punitive incentive. After we certify your unpaid taxes to the tax title account, the Collector-Treasurer: issues a tax lien, which is a claim of legal ownership on your property, and records the lien at the Registry of Deeds. If the taxes go unpaid within a set amount of time from the due date, the City will start the foreclosure process. We file a petition to foreclose with the Land Court. We’ll do a title exam and send a notice of foreclosure to anyone who has an ownership interest in the property.",https://www.boston.gov/departments/law/what-tax-title-process,I do not believe this should be in non-departmental.  Perhaps under 15140,Created 9/29/2016,,,,,,,,,,,,,,,,,
16550,10000,General Government,16000,Non-Departmental,16550,General Government Buildings and Plant,,,,,"We manage, repair, and provide maintenance and security for the City’s municipal buildings, such as City Hall and the Old State House.

",https://www.boston.gov/departments/property-management,,,,,,,,,,,,,,,,,,,
16600,10000,General Government,16000,Non-Departmental,16600,General Engineering,,,,,"We are responsible for facility layout and space planning analysis for City departments, building security, events management, and the coordination of capital improvement projects for properties within our jurisdiction.",https://www.boston.gov/departments/property-management,,,,,,,,,,,,,,,,,,,
16650,10000,General Government,16000,Non-Departmental,16650,Public Information,,,,,"The Public Information Office (PIO) acts as the main liaison between the City and the media. This office is responsible for producing media releases and increasing the public’s awareness of City programs, services, and other important information. Additionally, the Public Information Office oversees content production for various print publications and digital media channels, and serves as the public outreach arm of the City Manager's Office.",https://www.cambridgema.gov/pio,,,,,,,,,,,,,,,,,,,
16700,10000,General Government,16000,Non-Departmental,16700,Records Management,,,,,Records Management places all public records on Records Retention Schedules that list the minimum legal and fiscal time periods they must be retained by local governmental and educational agencies. It also provides access to those documents to both publically and within local government.,http://www.nj.gov/treasury/revenue/rms/retention.shtml,,,,,,,,,,,,,,,,,,,
16750,10000,General Government,16000,Non-Departmental,16750,Customer Service,,,,,"Connects residents with highly trained Constituent Service Center representatives who are ready to help with requests for non-emergency City services and information.  This group can also assist in designing better methods to help residents navigate the organizational structure of the city to get the answers they are looking for (i.e. phone apps, recorded phone messages with school closures).",https://www.boston.gov/departments/bos311,,,,,,,,,,,,,,,,,,,
16800,10000,General Government,16000,Non-Departmental,16800,General Administration Fees,,,,,"Local governments have broad authority to implement user fees that reasonably cover the costs of their operations. User fees differ from taxes, which must be authorized by the State Legislature (i.e. charges for the use of government-owned facilities such as community centers, meeting spaces and park shelters).  These fees could also include the use of off duty police officers for event security.",legis.wisconsin.gov/lab/reports/04-0userfeesfull.pdf,,,,,,,,,,,,,,,,,,,
16900,10000,General Government,16000,Non-Departmental,16900,Other - Non-Departmental (Unclassified),,,,,"The Unclassified Administrative area of the budget includes those budget areas representing general expenditures which are not assigned to specific agency budgets. During the course of the fiscal year, many of these dollars are allocated against agency budgets to properly account for where the expenditures actually occur. As a program becomes established, it will often be assigned to an agency on a permanent basis. The funds, once established, would then be transferred from Unclassified Administrative to the agency budget.",http://www.pwcgov.org/government/dept/budget/Documents/15--Non-Departmental--00.pdf,,,,,,,,,,,,,,,,,,,
16910,,General Government,16000,Non-Departmental,16900,Other - Non-Departmental (Unclassified),16910,Permanent Funds and Special Purpose Trust Funds,,,Personnel that manage all transactions related to Permanent Funds and Special Purpose Trust Fund activities.,,,,,,,,,,,,,,,,,,,,
16920,,General Government,16000,Non-Departmental,16900,Other - Non-Departmental (Unclassified),16920,Capital Projects,,,"Personnel that manage expenditures related to the purchase or construction of major capital facilities, which are not associated with any strict departmental use.",,\,,,,,,,,,,,,,,,,,,
16990,,General Government,16000,Non-Departmental,16900,Other - Non-Departmental (Unclassified),16990,Miscellaneous - Other - Non-Departmental (Unclassified),,,This category should be used for all miscellaneous activity or functions that are non-departmental (unclassified)  in nature and are not mentioned specifically elsewhere in this document,,What is meant by non-departmental unclassified,,,,,,,,,,,,,,,,,,
16990,,General Government,16990,Other - Non-Departmental,,,,,,,This category should be used for all other non-departmental functions that are not mentioned specifically elsewhere within this document.,,,,,,,,,,,,,,,,,,,,
17000,10000,General Government,17000,Intergovernmental,,,,,,,"We coordinate interactions between City government and federal, state, City Council, and other local governments. We also assist City departments with advocacy and prospecting for public and private grants.",https://www.boston.gov/departments/intergovernmental-relations,,,,,,,,,,,,,,,,,,,
17100,10000,General Government,17000,Intergovernmental,17100,Intergovernmental Expenditures,,,,,Portion of intergovernmental relations team that manages the expenditures related to public assessments and charges between the local government and another government entity.,these are typically managed by the Finance dept. but they do not want them to show on their books.,,,,,,,,,,,,,,,,,,,
17110,10000,General Government,17000,Intergovernmental,17100,Intergovernmental Expenditures,17110,Federal Assessments and Charges,,,Coordination to handle the covenants associated with Federal assesments and the necessary expenditures.  These are not common in local government.,created based on MA SchA (10/11/2016),,,,,,,,,,,,,,,,,,,
17120,10000,General Government,17000,Intergovernmental,17100,Intergovernmental Assessments,17120,State  Assessments and Charges,,,Coordination associated with the covenants of State assesments and the necessary expenditures.,,,,,,,,,,,,,,,,,,,,
17130,10000,General Government,17000,Intergovernmental,17100,Intergovernmental Assessments,17130,County Assessments and Charges,,,Coordination associated with the covenants of Count assessments and the necessary expenditures.,,,,,,,,,,,,,,,,,,,,
17140,10000,General Government,17000,Intergovernmental,17100,Intergovernmental Assessments,17140,Other - Intergovernmental Assessments and Charges,,,All other Intergovernmental Assessment and charges that are not specified elsewhere in this document.,,,,,,,,,,,,,,,,,,,,
19000,10000,General Government,19000,Other - General Government,,,,,,,All other centeral government actions that are not mentioned elsewhere in this document.,,,,,,,,,,,,,,,,,,,,
20000,20000,Judicial,,,,,,,,,"Judicial branch of municipal govenment, whose mission is to advance the fair administration of justice at the local level.  The court is devoted to the rule of law through the conscientious and expeditious resolution of disputes, with a commitment to restoring the human spirit through correction, education, respect and compassion.                            ",http://www.mass.gov/courts/court-info/trial-court/bmc/mission-statement.html,,,,,,,,,,,,,,,,,,,
21000,20000,Judicial,21000,Administration - Judicial,,,,,,,"The Executive Office of the Trial Court was established to facilitate communication and enable joint leadership of the Trial Court by the Chief Justice of the Trial Court and the Court Administrator. The office includes staff to support judicial policy, judicial education, general counsel, research and planning, intergovernmental relations, specialty court administration, grants management, general administration and communications.",http://www.mass.gov/courts/court-info/trial-court/exec-office/,,,,,,,,,,,,,,,,,,,
